aX,aY,aZ,gX,gY,gZ
4.470,-24.873,-1.192,-1.132,0.110,-2.755
4.515,-25.331,-1.221,-0.943,0.297,-3.144
4.525,-25.568,-1.245,-0.768,0.452,-3.434
4.523,-25.637,-1.209,-0.572,0.613,-3.724
4.417,-25.453,-1.137,-0.276,0.829,-4.104
4.271,-25.142,-1.085,-0.035,0.990,-4.380
4.108,-24.687,-1.015,0.215,1.151,-4.646
3.824,-23.882,-0.929,0.543,1.362,-4.988
3.567,-23.154,-0.857,0.774,1.517,-5.234
3.244,-22.352,-0.776,0.991,1.652,-5.469
2.777,-21.205,-0.706,1.259,1.829,-5.768
2.428,-20.310,-0.658,1.442,1.945,-5.980
2.014,-19.075,-0.560,1.653,2.078,-6.249
1.693,-18.095,-0.453,1.785,2.160,-6.441
1.372,-17.097,-0.321,1.892,2.224,-6.624
0.939,-15.799,-0.151,1.998,2.279,-6.849
0.634,-14.921,-0.026,2.049,2.299,-7.002
0.359,-14.071,0.096,2.075,2.306,-7.143
-0.017,-12.938,0.316,2.075,2.296,-7.310
-0.223,-12.086,0.479,2.056,2.272,-7.421
-0.429,-11.231,0.637,2.028,2.235,-7.523
-0.632,-10.125,0.850,1.981,2.171,-7.639
-0.764,-9.366,1.010,1.943,2.113,-7.712
-0.929,-8.440,1.231,1.895,2.039,-7.789
-1.022,-7.800,1.405,1.866,1.972,-7.831
-1.094,-7.175,1.585,1.844,1.909,-7.861
-1.140,-6.321,1.776,1.829,1.838,-7.882
-1.154,-5.693,1.937,1.832,1.796,-7.884
-1.185,-5.126,2.121,1.844,1.760,-7.875
-1.168,-4.415,2.342,1.869,1.722,-7.847
-1.144,-1.046,3.033,1.986,1.729,-7.733
-1.207,0.290,3.053,2.052,1.742,-7.715
-1.274,1.302,3.038,2.089,1.750,-7.710
-1.314,2.394,3.029,2.113,1.759,-7.711
-1.446,4.049,3.024,2.128,1.779,-7.724
-1.571,5.416,3.053,2.131,1.801,-7.741
-1.757,6.812,3.098,2.121,1.814,-7.757
-2.066,8.452,3.110,2.082,1.805,-7.771
-2.315,9.412,3.089,2.031,1.780,-7.769
-2.569,10.173,3.065,1.964,1.748,-7.746
-2.837,11.104,3.055,1.858,1.693,-7.678
-3.079,11.928,3.091,1.783,1.660,-7.588
-3.443,12.886,3.263,1.724,1.635,-7.450
-4.041,14.193,3.644,1.614,1.538,-7.200
-4.492,15.064,3.797,1.522,1.428,-6.958
-4.942,15.799,3.859,1.399,1.239,-6.574
-5.133,16.048,3.780,1.309,1.074,-6.257
-5.171,16.142,3.677,1.227,0.908,-5.919
-4.937,16.226,3.472,1.118,0.680,-5.460
-4.578,16.369,3.273,1.041,0.519,-5.114
-4.166,16.633,3.177,0.975,0.382,-4.766
-3.426,17.176,3.105,0.885,0.208,-4.311
-2.775,17.676,3.144,0.810,0.102,-3.976
-2.119,18.222,3.247,0.706,-0.001,-3.657
-1.257,18.902,3.335,0.521,-0.125,-3.252
-0.639,19.237,3.409,0.350,-0.199,-2.972
-0.041,19.371,3.455,0.152,-0.263,-2.717
0.752,19.218,3.436,-0.149,-0.339,-2.423
1.271,18.909,3.381,-0.382,-0.376,-2.236
1.700,18.483,3.359,-0.602,-0.391,-2.073
2.174,17.815,3.388,-0.869,-0.384,-1.885
2.456,17.310,3.436,-1.051,-0.369,-1.773
2.804,16.654,3.563,-1.268,-0.346,-1.652
3.043,16.178,3.658,-1.410,-0.331,-1.582
3.237,15.704,3.792,-1.528,-0.311,-1.525
3.450,15.055,3.994,-1.644,-0.285,-1.457
3.610,14.578,4.154,-1.704,-0.270,-1.413
